# Cross-dataset type aliases for MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# system flywire_matsliah2024 / flywire_schlegel2024 / hemibrain: Sup_Table_7 of Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0) (preliminary male optic lobe -> female FlyWire matches;
#       Matsliah = FlyWire optic-lobe names (Matsliah et al. 2024), Schlegel = FlyWire whole-brain names (Schlegel et al. 2024), hemibrain = Scheffer et al. 2020 names).
# system malecns_flywireType / malecns_hemibrainType: the MaleCNS v1.0 per-cell annotation columns (CC BY, male-cns.janelia.org), majority value per type.
# tier: exact = alias identical to the MaleCNS name (1-to-1 / >=90% of annotated cells); alias = different name, 1-to-1 or >=90% of annotated cells;
#       fuzzy = n-to-1 / 1-to-n match, composite alias string, or majority < 90% (evidence gives the cardinality or the shares).
malecns_type,alias,system,tier,evidence
Tm30,Tm31,flywire_matsliah2024,alias,Sup_Table_7 row 58: matched as 1-to-1
Tm31,Tm35,flywire_matsliah2024,alias,Sup_Table_7 row 59: matched as 1-to-1
Tm32,Tm33,flywire_matsliah2024,alias,Sup_Table_7 row 60: matched as 1-to-1
Tm33,Tm37,flywire_matsliah2024,alias,Sup_Table_7 row 61: matched as 1-to-1
Tm34,Tm32,flywire_matsliah2024,alias,Sup_Table_7 row 62: matched as 1-to-1
Tm35,Tm34,flywire_matsliah2024,alias,Sup_Table_7 row 63: matched as 1-to-1
Tm36,Tm8b,flywire_matsliah2024,alias,Sup_Table_7 row 64: matched as 1-to-1
Tm37,Tm5e,flywire_matsliah2024,alias,Sup_Table_7 row 65: matched as 1-to-1
Tm37,CB3864,flywire_schlegel2024,alias,Sup_Table_7 row 65: matched as 1-to-1
Tm38,Tm8a,flywire_matsliah2024,alias,Sup_Table_7 row 66: matched as 1-to-1
Tm38,Tm8,flywire_schlegel2024,alias,Sup_Table_7 row 66: matched as 1-to-1
Tm39,Tm7,flywire_matsliah2024,alias,Sup_Table_7 row 67: matched as 1-to-1
Tm39,CB3851,flywire_schlegel2024,alias,Sup_Table_7 row 67: matched as 1-to-1
Tm4,Tm4,flywire_matsliah2024,exact,Sup_Table_7 row 68: matched as 1-to-1
Tm4,Tm4,flywire_schlegel2024,exact,Sup_Table_7 row 68: matched as 1-to-1
Tm40,CB3851,flywire_schlegel2024,fuzzy,Sup_Table_7 row 69: matched as 3-to-1
Tm5a,Tm5a,flywire_matsliah2024,exact,Sup_Table_7 row 70: matched as 1-to-1
Tm5a,Tm5a,flywire_schlegel2024,exact,Sup_Table_7 row 70: matched as 1-to-1
Tm5b,Tm5b,flywire_matsliah2024,exact,Sup_Table_7 row 71: matched as 1-to-1
Tm5b,CB3852,flywire_schlegel2024,alias,Sup_Table_7 row 71: matched as 1-to-1
Tm5c,Tm5c,flywire_matsliah2024,exact,Sup_Table_7 row 72: matched as 1-to-1
Tm5c,Tm5c,flywire_schlegel2024,exact,Sup_Table_7 row 72: matched as 1-to-1
Tm5Y,Tm5f,flywire_matsliah2024,alias,Sup_Table_7 row 73: matched as 1-to-1
Tm5Y,Tm5Y,flywire_schlegel2024,exact,Sup_Table_7 row 73: matched as 1-to-1
Tm6,Tm21,flywire_matsliah2024,alias,Sup_Table_7 row 74: matched as 1-to-1
Tm6,Tm6,flywire_schlegel2024,exact,Sup_Table_7 row 74: matched as 1-to-1
Tm9,Tm9,flywire_matsliah2024,exact,Sup_Table_7 row 75: matched as 1-to-1
Tm9,Tm9,flywire_schlegel2024,exact,Sup_Table_7 row 75: matched as 1-to-1
TmY10,TmY10,flywire_matsliah2024,exact,Sup_Table_7 row 76: matched as 1-to-1
TmY10,CB3816,flywire_schlegel2024,alias,Sup_Table_7 row 76: matched as 1-to-1
TmY13,TmY11,flywire_matsliah2024,alias,Sup_Table_7 row 77: matched as 1-to-1
TmY13,TmY11,flywire_schlegel2024,alias,Sup_Table_7 row 77: matched as 1-to-1
TmY14,TmY14,flywire_matsliah2024,exact,Sup_Table_7 row 78: matched as 1-to-1
TmY14,TmY14,flywire_schlegel2024,exact,Sup_Table_7 row 78: matched as 1-to-1
TmY15,TmY15,flywire_matsliah2024,exact,Sup_Table_7 row 79: matched as 1-to-1
TmY15,TmY15,flywire_schlegel2024,exact,Sup_Table_7 row 79: matched as 1-to-1
TmY16,TmY16,flywire_matsliah2024,exact,Sup_Table_7 row 80: matched as 1-to-1
TmY16,TmY16,flywire_schlegel2024,exact,Sup_Table_7 row 80: matched as 1-to-1
TmY17,TmY31,flywire_matsliah2024,alias,Sup_Table_7 row 81: matched as 1-to-1
TmY17,TmYem1,flywire_schlegel2024,alias,Sup_Table_7 row 81: matched as 1-to-1
TmY18,Tm27,flywire_matsliah2024,alias,Sup_Table_7 row 82: matched as 1-to-1
TmY18,TmY18,flywire_schlegel2024,exact,Sup_Table_7 row 82: matched as 1-to-1
TmY19a,LMa4 + some TmY15 + a few LMa3,flywire_matsliah2024,fuzzy,Sup_Table_7 row 83: matched as 1-to-3; composite alias string (several source types); note: apparent TmY19a matches include all LMa4 but also several Matsliah TmY15 and a few LMa3
TmY19b,LMa3,flywire_matsliah2024,alias,Sup_Table_7 row 84: matched as 1-to-1; note: most LMa3 appear to match TmY19b
TmY20,TmY20,flywire_matsliah2024,exact,Sup_Table_7 row 85: matched as 1-to-1
TmY20,TmY20,flywire_schlegel2024,exact,Sup_Table_7 row 85: matched as 1-to-1
TmY21,Tm36,flywire_matsliah2024,alias,Sup_Table_7 row 86: matched as 1-to-1
TmY3,TmY3,flywire_matsliah2024,exact,Sup_Table_7 row 87: matched as 1-to-1
TmY3,TmY3,flywire_schlegel2024,exact,Sup_Table_7 row 87: matched as 1-to-1
TmY4,TmY4,flywire_matsliah2024,exact,Sup_Table_7 row 88: matched as 1-to-1
TmY4,TmY4,flywire_schlegel2024,exact,Sup_Table_7 row 88: matched as 1-to-1
TmY5a,TmY5a,flywire_matsliah2024,exact,Sup_Table_7 row 89: matched as 1-to-1
TmY5a,TmY5a,flywire_schlegel2024,exact,Sup_Table_7 row 89: matched as 1-to-1
TmY9a,TmY9q__perp,flywire_matsliah2024,alias,Sup_Table_7 row 90: matched as 1-to-1
TmY9a,TmY9,flywire_schlegel2024,alias,Sup_Table_7 row 90: matched as 1-to-1
TmY9b,TmY9q,flywire_matsliah2024,alias,Sup_Table_7 row 91: matched as 1-to-1
TmY9b,TmY9,flywire_schlegel2024,alias,Sup_Table_7 row 91: matched as 1-to-1
Y11,Y11,flywire_matsliah2024,exact,Sup_Table_7 row 92: matched as 1-to-1
