bodyId,type,side,seed_bodyId,hex1,hex2,hex_source,seed_displaced_for_injectivity,seed_assignment_distance
720575941449465108,Mi1,R,720575941449465108,-8,-2,connectivity_candidate,False,0.0461804587
720575941449501277,Mi1,R,720575941449501277,-1,-6,connectivity_candidate,False,0.031687171
720575941450209914,Mi1,R,720575941450209914,9,16,connectivity_candidate,False,0.0377884014
720575941450991797,Mi1,R,720575941450991797,-1,10,connectivity_candidate,False,0.0356016086
720575941451143751,Mi1,R,720575941451143751,-10,2,connectivity_candidate,False,0.292475292
720575941451190109,Mi1,R,720575941451190109,16,7,connectivity_candidate,False,0.029389334
720575941451301447,Mi1,R,720575941451301447,-5,-1,connectivity_candidate,False,0.0407650234
720575941451450793,Mi1,R,720575941451450793,-1,12,connectivity_candidate,False,0.0391392133
720575941451887482,Mi1,R,720575941451887482,-6,-8,connectivity_candidate,False,0.0351997404
720575941451980922,Mi1,R,720575941451980922,-6,-3,connectivity_candidate,False,0.0421605189
720575941452073038,Mi1,R,720575941452073038,0,-9,connectivity_candidate,False,0.0242699593
720575941453047347,Mi1,R,720575941453047347,4,13,connectivity_candidate,False,0.0318645836
720575941453514803,Mi1,R,720575941453514803,2,7,connectivity_candidate,False,0.0314752599
720575941453822633,Mi1,R,720575941453822633,-4,-14,connectivity_candidate,False,0.110815441
720575941454104233,Mi1,R,720575941454104233,14,2,connectivity_candidate,False,0.0312163169
720575941454204999,Mi1,R,720575941454204999,-10,-16,connectivity_candidate,True,0.82107668
720575941454343219,Mi1,R,720575941454343219,14,7,connectivity_candidate,False,0.0326063554
720575941454843373,Mi1,R,720575941454843373,6,14,connectivity_candidate,False,0.0306648089
720575941454933485,Mi1,R,720575941454933485,-4,3,connectivity_candidate,False,0.0157959125
720575941455158509,Mi1,R,720575941455158509,3,1,connectivity_candidate,False,0.0341832149
720575941456101535,Mi1,R,720575941456101535,7,7,connectivity_candidate,False,0.0343263325
720575941456842224,Mi1,R,720575941456842224,2,10,connectivity_candidate,False,0.0308837672
720575941457289968,Mi1,R,720575941457289968,14,12,connectivity_candidate,False,0.033743084
720575941457317360,Mi1,R,720575941457317360,-6,-13,connectivity_candidate,False,0.0229977872
720575941457994566,Mi1,R,720575941457994566,10,0,connectivity_candidate,False,0.0358821679
720575941458307056,Mi1,R,720575941458307056,2,-5,connectivity_candidate,False,0.0330221461
720575941459586500,Mi1,R,720575941459586500,-7,0,connectivity_candidate,True,1.00550592
720575941459725267,Mi1,R,720575941459725267,3,14,connectivity_candidate,False,0.0663008527
720575941459726291,Mi1,R,720575941459726291,-17,-8,connectivity_candidate,True,0.628888474
720575941460073200,Mi1,R,720575941460073200,-2,-6,connectivity_candidate,False,0.0326871888
720575941460129988,Mi1,R,720575941460129988,2,15,connectivity_candidate,False,0.0479802869
720575941460315792,Mi1,R,720575941460315792,-13,0,connectivity_candidate,True,1.12714627
720575941460445599,Mi1,R,720575941460445599,-5,3,connectivity_candidate,False,0.0189074074
720575941460473744,Mi1,R,720575941460473744,4,15,connectivity_candidate,False,0.0716058349
720575941461049811,Mi1,R,720575941461049811,-10,-2,connectivity_candidate,True,0.488726341
720575941462650579,Mi1,R,720575941462650579,14,0,connectivity_candidate,False,0.186855084
720575941462769860,Mi1,R,720575941462769860,12,5,connectivity_candidate,False,0.0331451879
720575941463048900,Mi1,R,720575941463048900,9,8,connectivity_candidate,False,0.0384083204
720575941463417284,Mi1,R,720575941463417284,10,8,connectivity_candidate,False,0.0320968781
720575941463572237,Mi1,R,720575941463572237,9,13,connectivity_candidate,False,0.0334139384
720575941463615888,Mi1,R,720575941463615888,-8,8,connectivity_candidate,False,0.504952752
720575941464858381,Mi1,R,720575941464858381,10,-7,connectivity_candidate,False,0.0552292536
720575941465397005,Mi1,R,720575941465397005,-5,-3,connectivity_candidate,False,0.0406742113
