# MaleCNS v1.0 type map, source name -> MaleCNS type (same rows as type_aliases.csv, source-keyed). Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.0.0; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class.
source_name,malecns_type,tier,evidence,n_cells_malecns,system
CB0958b,AMMC006,alias,MaleCNS v1.0 body-annotations flywireType='CB0958b' on 8/8 cells,8,flywire
CB0958a,AMMC007,alias,MaleCNS v1.0 body-annotations flywireType='CB0958a' on 9/9 cells,9,flywire
CB0451,AMMC008,alias,MaleCNS v1.0 body-annotations flywireType='CB0451' on 2/2 cells,2,flywire
CB0333,AMMC009,alias,MaleCNS v1.0 body-annotations flywireType='CB0333' on 2/2 cells,2,flywire
CB0131,AMMC010,alias,MaleCNS v1.0 body-annotations flywireType='CB0131' on 2/2 cells,2,flywire
CB0749,AMMC011,alias,MaleCNS v1.0 body-annotations flywireType='CB0749' on 2/2 cells,2,flywire
hb2092402876,AMMC011,alias,"MaleCNS v1.0 hemibrainType='(hb2092402876)' on 1/2 cells: untyped hemibrain body id, no hemibrain type",2,hemibrain_body
CB0404,AMMC012,alias,MaleCNS v1.0 body-annotations flywireType='CB0404' on 2/2 cells,2,flywire
hb2032849765,AMMC012,alias,"MaleCNS v1.0 hemibrainType='(hb2032849765)' on 1/2 cells: untyped hemibrain body id, no hemibrain type",2,hemibrain_body
CB0478,AMMC013,alias,MaleCNS v1.0 body-annotations flywireType='CB0478' on 2/2 cells,2,flywire
hb1744966885,AMMC013,alias,"MaleCNS v1.0 hemibrainType='(hb1744966885)' on 1/2 cells: untyped hemibrain body id, no hemibrain type",2,hemibrain_body
CB1350,AMMC014,alias,MaleCNS v1.0 body-annotations flywireType='CB1350' on 4/4 cells,4,flywire
CB1098,AMMC015,alias,MaleCNS v1.0 body-annotations flywireType='CB1098' on 8/8 cells,8,flywire
CB2313,AMMC016,alias,MaleCNS v1.0 body-annotations flywireType='CB2313' on 4/4 cells,4,flywire
CB3805,AMMC017,alias,MaleCNS v1.0 body-annotations flywireType='CB3805' on 4/4 cells,4,flywire
CB0979a,AMMC018,alias,MaleCNS v1.0 body-annotations flywireType='CB0979a' on 9/9 cells,9,flywire
CB0979b,AMMC019,alias,MaleCNS v1.0 body-annotations flywireType='CB0979b' on 10/10 cells,10,flywire
CB0989,AMMC020,alias,MaleCNS v1.0 body-annotations flywireType='CB0989' on 10/10 cells,10,flywire
CB3371,AMMC021,alias,MaleCNS v1.0 body-annotations flywireType='CB3371' on 5/5 cells,5,flywire
CB1038d,AMMC022,alias,MaleCNS v1.0 body-annotations flywireType='CB1038d' on 1/6 cells,6,flywire
CB2067,AMMC022,alias,MaleCNS v1.0 body-annotations flywireType='CB2067' on 5/6 cells,6,flywire
CB1038d,AMMC023,alias,MaleCNS v1.0 body-annotations flywireType='CB1038d' on 4/4 cells,4,flywire
CB1038a,AMMC024,alias,MaleCNS v1.0 body-annotations flywireType='CB1038a' on 2/2 cells,2,flywire
CB1978,AMMC025,alias,MaleCNS v1.0 body-annotations flywireType='CB1978' on 12/12 cells,12,flywire
CB0980,AMMC026,alias,MaleCNS v1.0 body-annotations flywireType='CB0980' on 10/10 cells,10,flywire
CB4240,AMMC027,alias,MaleCNS v1.0 body-annotations flywireType='CB4240' on 3/3 cells,3,flywire
CB3893,AMMC028,alias,MaleCNS v1.0 body-annotations flywireType='CB3893' on 4/4 cells; name not in Schlegel 2024 SD1 v3.0.0 cell_type list; NAME COLLISION: a FlyWire type named 'AMMC028' exists but MaleCNS maps this type elsewhere,4,flywire
CB3275b,AMMC029,alias,MaleCNS v1.0 body-annotations flywireType='CB3275b' on 2/2 cells,2,flywire
CB3200,AMMC030,alias,MaleCNS v1.0 body-annotations flywireType='CB3200' on 3/3 cells,3,flywire
CB3200,AMMC031,alias,MaleCNS v1.0 body-annotations flywireType='CB3200' on 5/5 cells,5,flywire
CB2322,AMMC032,alias,MaleCNS v1.0 body-annotations flywireType='CB2322' on 4/4 cells,4,flywire
CB3275a,AMMC033,alias,MaleCNS v1.0 body-annotations flywireType='CB3275a' on 3/3 cells,3,flywire
CB2556,AMMC034_a,alias,MaleCNS v1.0 body-annotations flywireType='CB2556' on 3/3 cells,3,flywire
CB2556,AMMC034_b,alias,MaleCNS v1.0 body-annotations flywireType='CB2556' on 2/2 cells,2,flywire
CB1427,AMMC035,alias,MaleCNS v1.0 body-annotations flywireType='CB1427' on 10/10 cells,10,flywire
CB0957,AMMC036,alias,MaleCNS v1.0 body-annotations flywireType='CB0957' on 6/6 cells,6,flywire
CB3912,AMMC037,alias,MaleCNS v1.0 body-annotations flywireType='CB3912' on 2/2 cells,2,flywire
CB1038b,AMMC038,alias,MaleCNS v1.0 body-annotations flywireType='CB1038b' on 2/2 cells,2,flywire
AN_GNG_133,AN00A002,alias,MaleCNS v1.0 body-annotations flywireType='AN_GNG_133' on 1/1 cells,1,flywire
AN00A002,AN00A002,exact,MaleCNS v1.0 body-annotations mancType='AN00A002' on 1/1 cells,1,manc
