# Özel et al. 2021 Nature 589:88-95 (doi:10.1038/s41586-020-2879-3); GEO GSE142787 (SuperSeries GSE142789).
# Adult timepoint only: 109,743 cells, female Canton-S 1-3 days old (male libraries removed by the authors), 10x v2.
# One row per adult cluster (199 columns of the GEO sheet: 193 final clusters incl. P70/P50 backprojections 221-235).
# Gene symbols are the plan's names; the source build (BDGP6.88) names differ for ChAT (=Cha), KaiR1D (=CG3822),
# Octalpha2R (=CG18208); mAChR-C (CG7918) is absent from the source gene set -> NaN. Built by scripts/build_ozel2021_tables.py.
# UNIT: per-cluster arithmetic mean of Seurat LogNormalize values, ln(1 + UMI / total_UMI * 1e4) per cell
# (sheet Adult_average_expression of GSE142787_Log_normalized_average_expression.xlsx, non-integrated data).
source_name,source_cluster,map_tier,ChAT,VAChT,Gad1,VGAT,VGlut,Hdc,ple,DAT,Tdc2,Tbh,Trh,SerT,nAChRalpha1,nAChRalpha2,nAChRalpha3,nAChRalpha4,nAChRalpha5,nAChRalpha6,nAChRalpha7,nAChRbeta1,nAChRbeta2,nAChRbeta3,Rdl,Lcch3,Grd,GluClalpha,KaiR1D,GluRIA,GluRIB,Nmdar1,Nmdar2,HisCl1,ort,mAChR-A,mAChR-B,mAChR-C,GABA-B-R1,GABA-B-R2,GABA-B-R3,mGluR,Dop1R1,Dop1R2,Dop2R,DopEcR,Oamb,Octbeta1R,Octbeta2R,Octbeta3R,Octalpha2R,5-HT1A,5-HT1B,5-HT2A,5-HT2B,5-HT7
13,13,unmatched,1.07325061717499,0.532752729723632,0.763898107396905,0.37909221619434,3.79883192386561,0.0,0.00461319266255285,0.0354621939958332,0.0,0.00535101153198681,0.0,0.0,0.0885632195104141,0.269497183700746,1.73450503588955,0.880333519274977,1.14778888398934,2.72606339463759,1.74358563316989,1.82225544408944,0.917670722885682,0.0,3.35075767960176,1.40265582111119,0.708648369543109,1.67400710173479,0.121354158848983,1.38605673427857,2.01562371985491,0.356414312451828,0.213116338114674,0.0145095697017141,0.162773140441167,0.418432477428136,0.0279348246128272,,1.05221975654553,0.521767720016658,0.0336878357962216,0.0402084332367765,0.0626059316097035,0.0370485010996892,1.23141278377146,2.09525988906761,0.327294533224517,0.507580424022361,1.79123372739196,0.926080769285097,1.38133804317241,1.15305106018596,0.723314854508557,0.221945525097133,0.00810350938569824,0.19374737965778
Dm1,14,exact,0.326431155079258,0.24863360872526,0.860590276217164,0.342653523310209,4.51395723565008,0.0,0.0225401273407656,0.0217130838233576,0.0,0.0167196661410314,0.0200459104405913,0.00994300951146691,0.672603422999429,1.07498237359973,0.495662645127847,0.644885516314283,2.03384622693673,3.43847029682337,1.79903543871597,1.89437724645304,1.24421252276066,0.0,3.24089830670092,1.33940964550728,0.00645738447660139,1.78578183215522,0.285498947033547,1.50088228457809,1.65470657219167,0.035600884435119,0.357968149860754,0.049693096910519,0.136553815266885,0.612298448331687,0.0,,0.844173087858362,0.573588171554049,0.0273293182826024,0.059961058627301,0.00697069010393792,0.0338652687135824,3.02478882164195,2.01194675272331,0.0720551720565899,2.17338480859486,0.483990230842579,0.807247484539624,0.0559430661955377,1.70095946067401,0.440607330782767,0.491969514526685,0.0,0.225685478200972
Dm10,15,exact,0.527899306677359,0.325797836609879,3.14016989504042,1.345885649576,1.55580069549824,0.00880305972849225,0.0620072220283504,0.0281916035813007,0.0,0.0639274433288475,0.0230287718621888,0.00487271508419988,0.235544072435433,0.288743971233102,1.61617033502486,0.624832899571998,2.42031884677262,3.77340374571429,1.33361704997047,1.64130782001568,1.10769744949198,0.0,4.30201709797605,1.60147894355841,0.604424544111932,1.25679505512564,0.499757927571119,1.0213090775435,1.49346621720498,0.237893718678678,0.40896890978556,0.0,0.540838711522548,0.709659008000613,0.0600572422349406,,0.877783244854117,0.68579644406143,0.026114289136343,0.0484680315029044,0.152236637834517,0.972530978837722,0.755695079475672,1.72839111860605,0.0777510235001624,0.377859047727415,1.36968753435792,0.760896802523214,1.29723580877345,1.84041922096433,1.5337355402481,1.04412034667961,0.057209623593991,0.0534636575328447
16,16,unmatched,0.196776511434356,0.394200163606865,0.807965714256895,0.660002004034268,4.48256975891334,0.0,0.0,0.0919460847172405,0.0,0.0,0.0875633434221287,0.0,0.653125417828618,0.577287268508749,0.871582584723228,0.788709277411922,1.58012279871595,3.82361045823559,1.54947643517596,1.75858647396213,1.15945815173713,0.0,3.5521379475307,1.09450911517413,0.702498741509957,1.51863391328625,0.199083365548393,0.5025360719326,1.26784836530048,0.272580428724246,0.182298334551979,0.0,0.0,0.550691434040946,2.14016225885526,,1.2599576281606,0.476177711117455,0.996607275237576,0.39555072714051,0.782182424943931,0.0408947907885769,2.50879844765109,2.15866326055868,0.382766031339764,0.375778386963944,1.04017227905896,1.35965090831478,0.191009615135461,0.0666718029379286,0.129536553329733,0.687995028077055,0.0315093869858086,0.0
17,17,unmatched,0.594012120839601,0.333146209525009,1.37850698454104,0.427880007958409,4.40431480385535,0.0,0.0482401084071605,0.0165085084703427,0.0,0.0294765753251546,0.0586044467049783,0.0,0.697681156808634,0.833064986552037,0.719002780323434,0.459895932527101,1.74278123662759,3.21972609353847,1.62074885063518,1.95275224625981,1.31469108046335,0.0,3.37439117151934,1.21740905527056,0.0236815214009715,1.40762354851948,0.285430805303504,0.993238738615761,1.48336175181105,0.266929487552271,0.602384837004904,0.0,0.329100520669309,0.757616706431838,0.569762151866967,,1.32521975323919,0.591876165382039,0.133144826068064,0.203063078361885,0.685365303769421,0.085367659799694,3.68363527602152,2.41121082447201,0.156161224314158,0.448412306002263,0.859256699631163,0.574963163904652,0.337154991382902,0.452157212804702,0.432084936460377,0.360130349974819,0.246515474933322,0.0631690866613936
18,18,unmatched,0.693565463658029,0.242410831353557,1.1993987529219,0.542601550193986,4.34951256984745,0.0,0.156550009982462,0.0,0.0,0.0,0.165389753029988,0.0,0.719625434879429,0.777784526456769,0.423040962007331,0.863287945670596,1.83644588347591,2.93533602962293,2.91579713678397,2.10778272359326,1.46349763802767,0.0,3.83412664915189,1.0558772305346,0.0,1.40011216001282,0.0245973716258002,1.49329201366675,1.85335399292762,0.0224887762138606,0.706385075525065,0.0,0.0676266729441816,0.741259654021582,0.415824389343764,,0.993782164423402,0.433859932002644,0.148991177557297,0.0997972617355757,0.23309570482971,0.0,2.5949514900045,1.69775971753928,0.215011694223271,0.780229189306165,1.58437618134052,0.462515188768294,1.08147379188737,1.80511190520623,1.1855382493597,1.95460231016577,0.286091721812513,0.0153255242002821
Dm8,19,class,0.513370013552673,0.270403366442675,1.22928360513394,0.434233358475618,4.49490298577969,0.0,0.0711003127864026,0.0723682522473824,0.0042582538079803,0.388584689323606,0.0295873953855191,0.015574204346637,1.01328466461952,1.36825770595607,1.56031451054744,0.799611115302416,1.03374803809738,2.61162225745435,1.34623746902114,1.63887984332209,1.2412426643771,0.0,1.54931857867901,1.43356147718518,1.24612387785421,0.580260607470109,0.537157124943516,0.153105055691471,0.332454078616229,0.301117468403898,0.181580044726327,0.00356773465760602,2.22080081887029,0.600924397271542,0.378647629343028,,1.14820291765448,0.656111087576706,0.065957876177907,0.0646470776796177,0.073185093332498,0.371687875307401,0.966238506222814,2.22470248893663,0.0955467268814932,1.91112995371794,1.51671250707289,1.34820270572566,0.522646630734921,0.249521652523765,0.108742001753557,1.51690820415663,0.0126839073584849,0.105054278335412
20,20,unmatched,0.489220752153491,0.31707271258051,1.28054059399519,0.57511567878598,4.21468705729736,0.0,0.025830346436928,0.0300270317465573,0.0,0.0169574595852617,0.0379370217587344,0.0,0.789622057850785,0.64043893288526,1.0816057816703,0.629729347677626,1.69970011392966,3.73718959924145,1.68212355281849,1.93948162325811,1.08287144121186,0.0,3.33255655440919,0.950721799290312,0.0,1.68508472053496,0.182156646538165,0.787346481047784,1.13819185649211,0.224684361996797,0.519455483759813,0.0,0.223831820131025,0.613738041188146,0.612801087718824,,1.4060469724511,0.702829206774334,0.0442988777197973,0.530657867704622,0.321566725326928,0.584808244033833,2.86143313900841,2.04232183268369,0.118770002594528,1.57470644182486,1.1695839079884,0.893400723970676,0.377885888169716,1.60523506802889,0.708705397668145,1.46545653766766,0.0327196816224587,0.124868911788932
21,21,unmatched,0.311968032082237,0.202990577906831,1.49283042697276,0.60086103843775,4.77297257340474,0.0,0.0,0.0,0.0,0.0375957827814287,0.0,0.0,0.637537356914571,0.691327097242372,0.302898149568066,0.484681500710196,1.33069572252553,2.83222514732936,1.58481936788774,2.26249383484192,1.25577331141202,0.0,3.26391327649992,1.16844058510941,0.0284344362696577,1.20757744397175,0.187588276136903,0.56893280492651,0.861679682912112,0.714653873842902,0.478009703639232,0.0,0.185695029239676,0.718047679103581,0.131362578031016,,1.30612826212574,0.624224074279682,0.0488521705112801,0.389958963481041,0.925657813252306,0.302119687548645,3.35556630771031,1.79915214772606,0.954149009726109,1.85401702499741,1.66459642462018,1.38852194264099,1.27692527309707,1.56434262563615,0.551585521298761,0.870692896433628,0.13198564146128,0.0305334728237748
22,22,unmatched,0.279343423494598,0.1587826218827,1.01342593323678,0.584056148519176,4.40475779565844,0.0,0.0486327469118926,0.0139100551953816,0.0,0.040199467815124,0.0310083134381695,0.0,1.18272699882212,0.937056148624584,0.955137639279438,0.858970895681537,1.83689285199653,3.02803201027854,2.12295077315916,2.25559306798237,1.48555375905945,0.0,2.89601281005038,1.2281788731288,0.0,1.8718447670872,0.180486067672884,1.23368342505429,1.71510547342502,0.399135766685031,0.342429714230371,0.0245444822387856,0.288422828254901,1.19361943671821,0.297868315111558,,1.44244177463414,0.533335043479517,0.433074185482119,0.19335350992816,0.248768526881665,0.0226773925724589,3.00555327213465,2.69651202437296,0.0385314688450855,0.245988888511936,1.53513954694216,0.71164428186587,1.95252370249646,1.14088637989604,1.25726130071651,0.396779352874719,0.0,0.00949386236952944
