# MaleCNS v1.0 cell-type aliases across connectomes. Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.1.0 (commit 8587524, 2026-07-21), 'matching MaleCNS v1.0'; plus the 2024 paper release of SD1 for the old optic names; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class. flag: ';'-joined caveats -- unresolvable (name absent from the source), cb_placeholder, paper_release_only, unmatched, conflict_nern7_vs_malecns[_notation], minority_agreement, merged_list_only, name_only, v3_name_collision (definitions in the script docstring); empty = no caveat. Downstream joins that trust tier 'alias' should drop rows flagged unresolvable / unmatched / conflict_nern7_vs_malecns.
malecns_type,alias,system,tier,flag,evidence
LHAV4g7_a,LHAV4g7_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV4g7_b,CB2757,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2757' on 7/7 cells
LHAV4g7_b,LHAV4g7_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV4i1,LHAV4i1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV4i1,LHAV4i1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV4j1,LHAV4j1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV4j1,LHAV4j1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV4l1,LHAV4l1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV4l1,LHAV4l1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a1,LHAV5a1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a1,LHAV5a1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 6 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a10_b,LHAV5a10_b,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a10_b,LHAV5a10_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a2_a1,LHAV5a2_a1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 10 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a2_a1,LHAV5a2_a,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='LHAV5a2_a' on 9/9 cells
LHAV5a2_a2,LHAV5a2_a2,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 10 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a2_a2,LHAV5a2_a,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='LHAV5a2_a' on 8/8 cells
LHAV5a2_a3,LHAV5a2_a3,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 11 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a2_a3,LHAV5a2_a,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='LHAV5a2_a' on 11/11 cells
LHAV5a2_a4,LHAV5a2_a4,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 8 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a2_a4,LHAV5a2_a,hemibrain,alias,,MaleCNS v1.0 body-annotations hemibrainType='LHAV5a2_a' on 10/10 cells
LHAV5a2_b,LHAV5a2_b,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a2_b,LHAV5a2_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a2_d,LHAV5a2_d,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV5a2_d,LHAV5a2_d,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a4_a,CB2096,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2096' on 3/3 cells
LHAV5a4_a,LHAV5a4_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a4_c,CB2744,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2744' on 4/4 cells
LHAV5a4_c,LHAV5a4_c,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a6_a,CB2715,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2715' on 4/4 cells
LHAV5a6_a,LHAV5a6_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a6_b,CB2476,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2476' on 6/6 cells
LHAV5a6_b,LHAV5a6_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 4 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a8,CB3160,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3160' on 6/6 cells
LHAV5a8,LHAV5a8,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5a9_a,CB1739,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1739' on 4/4 cells
LHAV5a9_a,LHAV5a9_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5b1,CB1167,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1167' on 4/4 cells
LHAV5b1,LHAV5b1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5b2,CB2296,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2296' on 4/4 cells
LHAV5b2,LHAV5b2,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5c1,CB1912,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1912' on 4/4 cells
LHAV5c1,LHAV5c1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5d1,LHAV5d1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV5d1,LHAV5d1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV5e1,LHAV5e1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV5e1,LHAV5e1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6a1,LHAV6a1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 6 FlyWire cells); MaleCNS flywireType agrees"
LHAV6a3,LHAV6a3,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 8 FlyWire cells); MaleCNS flywireType agrees"
LHAV6a4,CB2097,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2097' on 4/4 cells
LHAV6a4,LHAV6a4,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6a5,CB3304,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3304' on 6/6 cells
LHAV6a5,LHAV6a5,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6a7,CB1799,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1799' on 8/8 cells
LHAV6a7,LHAV6a7,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 4 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6a8,CB3408,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3408' on 2/2 cells
LHAV6a8,LHAV6a8,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6b1,LHAV6b1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV6b3,CB2247,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2247' on 3/11 cells
LHAV6b3,CB3085,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3085' on 4/11 cells
LHAV6b3,CB3134a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3134a' on 3/11 cells
LHAV6b3,CB3134b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3134b' on 1/11 cells
LHAV6b3,LHAV6b3,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 5 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6b4,LHAV6b4,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV6b4,LHAV6b4,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6c1,CB2262,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2262' on 1/9 cells
LHAV6c1,LHAV6c1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 4 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6e1,LHAV6e1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV6e1,LHAV6e1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6g1,LHAV6g1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV6g1,LHAV6g1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6h1,LHAV6h1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV6h1,LHAV6h1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV6i2_b,CB3665,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3665' on 2/2 cells
LHAV6i2_b,LHAV6i2_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 0 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7a1,LHAV7a1c,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='LHAV7a1c' on 5/5 cells
LHAV7a1,LHAV7a1_b,hemibrain,fuzzy,,rule transitive: MaleCNS->FlyWire 'LHAV7a1c' (MaleCNS flywireType) -> Schlegel 2024 SD1 hemibrain_type 'LHAV7a1_b' (majority over FlyWire cells)
LHAV7a1_a,LHAV7a1a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='LHAV7a1a' on 4/4 cells
LHAV7a1_a,LHAV7a1_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7a1_b,LHAV7a1b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='LHAV7a1b' on 3/3 cells
LHAV7a1_b,LHAV7a1_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7a3,LHAV7a3,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 8 FlyWire cells); MaleCNS flywireType agrees"
LHAV7a3,LHAV7a3,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 0 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7a4,LHAV7a4a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='LHAV7a4a' on 7/9 cells
LHAV7a4,LHAV7a4b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='LHAV7a4b' on 2/9 cells
LHAV7a4,LHAV7a4,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 4 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7a5,LHAV7a5,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 7 FlyWire cells); MaleCNS flywireType agrees"
LHAV7a5,LHAV7a5,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7a6,LHAV7a6,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV7a6,LHAV7a6,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7a7,LHAV7a7,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
LHAV7a7,LHAV7a7,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV7b1,CB1640,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1640' on 11/11 cells; NAME COLLISION: a FlyWire type named 'LHAV7b1' exists but MaleCNS maps this type elsewhere
LHAV7b1,LHAV7b1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 5 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV8a1,LHAV8a1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHAV8a1,LHAV8a1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV9a1_a,LHAV9a1_a,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
LHAV9a1_a,LHAV9a1_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV9a1_b,LHAV9a1_b,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
LHAV9a1_b,LHAV9a1_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHAV9a1_c,LHAV9a1_c,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
LHAV9a1_c,LHAV9a1_c,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT1,LHCENT1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT1,LHCENT1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT10,LHCENT10,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
LHCENT10,LHCENT10,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT11,LHCENT11,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT11,LHCENT11,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT12_a,LHCENT12a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='LHCENT12a' on 2/2 cells
LHCENT12_a,LHCENT12,hemibrain,fuzzy,,rule transitive: MaleCNS->FlyWire 'LHCENT12a' (MaleCNS flywireType) -> Schlegel 2024 SD1 hemibrain_type 'LHCENT12' (majority over FlyWire cells)
LHCENT12_b,LHCENT12b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='LHCENT12b' on 4/4 cells
LHCENT12_b,LHCENT12,hemibrain,fuzzy,,rule transitive: MaleCNS->FlyWire 'LHCENT12b' (MaleCNS flywireType) -> Schlegel 2024 SD1 hemibrain_type 'LHCENT12' (majority over FlyWire cells)
LHCENT13_a,LHCENT13_a,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT13_a,LHCENT13_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 3 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT13_b,LHCENT13_b,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT13_b,LHCENT13_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT13_c,LHCENT13_c,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
LHCENT13_c,LHCENT13_c,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT13_d,LHCENT13_d,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 3 FlyWire cells); MaleCNS flywireType agrees"
LHCENT13_d,LHCENT13_d,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT14,LHCENT14,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT14,LHCENT14,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT2,LHCENT2,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT2,LHCENT2,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT3,LHCENT3,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT3,LHCENT3,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT4,LHCENT4,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT4,LHCENT4,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT5,LHCENT5,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT5,LHCENT5,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT6,LHCENT6,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT6,LHCENT6,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT8,LHCENT8,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
LHCENT8,LHCENT8,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHCENT9,LHCENT9,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHCENT9,LHCENT9,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHMB1,LHMB1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHMB1,LHMB1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHPD1b1,LHPD1b1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
LHPD1b1,LHPD1b1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHPD2a1,CB2842,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB2842,CB3009,CB3205' on 8/9 cells; MaleCNS 1 : FlyWire 3 (merged types)"
LHPD2a1,CB2977,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB3198,CB2977' on 1/9 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a1,CB3009,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB2842,CB3009,CB3205' on 8/9 cells; MaleCNS 1 : FlyWire 3 (merged types)"
LHPD2a1,CB3198,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB3198,CB2977' on 1/9 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a1,CB3205,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB2842,CB3009,CB3205' on 8/9 cells; MaleCNS 1 : FlyWire 3 (merged types)"
LHPD2a1,LHPD2a1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 5 hemibrain bodies); MaleCNS hemibrainType agrees"
LHPD2a2,CB0339,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB0339,CB3774' on 3/10 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a2,CB3110,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3110' on 7/10 cells
LHPD2a2,CB3774,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB0339,CB3774' on 3/10 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a2,LHPD2a2,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 4 hemibrain bodies); MaleCNS hemibrainType agrees"
LHPD2a4_a,CB2031,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB2031,CB3231' on 8/8 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a4_a,CB3231,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB2031,CB3231' on 8/8 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a4_a,LHPD2a4_a,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHPD2a4_b,CB3331,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3331' on 4/4 cells
LHPD2a4_b,LHPD2a4_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
LHPD2a5_b,CB1006,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB1006,CB2932' on 1/2 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a5_b,CB2932,flywire,alias,,"MaleCNS v1.0 body-annotations flywireType='CB1006,CB2932' on 1/2 cells; MaleCNS 1 : FlyWire 2 (merged types)"
LHPD2a5_b,CB3185,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3185' on 1/2 cells
LHPD2a5_b,LHPD2a5_b,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 1 hemibrain bodies); MaleCNS hemibrainType agrees"
LHPD2a6,CB1173,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1173' on 2/8 cells
LHPD2a6,CB2819,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2819' on 3/8 cells
LHPD2a6,CB2945,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2945' on 3/8 cells
LHPD2a6,LHPD2a6,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 4 hemibrain bodies); MaleCNS hemibrainType agrees"
