# MaleCNS v1.0 cell-type aliases across connectomes. Built by scripts/build_type_map_typing.py from: MaleCNS v1.0 body-annotations (flywireType / hemibrainType / mancType / class; CC BY 4.0), Schlegel et al. 2024 Nature doi:10.1038/s41586-024-07686-5 Supplementary Data 1 and 5 (github.com/flyconnectome/flywire_annotations v3.1.0 (commit 8587524, 2026-07-21), 'matching MaleCNS v1.0'; plus the 2024 paper release of SD1 for the old optic names; CC BY 4.0), Nern et al. 2025 Nature doi:10.1038/s41586-025-08746-0 Supplementary Tables 1 and 7 (CC BY 4.0), the MaleCNS Cell Type Explorer synonyms (github.com/reiserlab/celltype-explorer-drosophila-male-cns, 2026-09-09), and Olivera 2026 Neuroinformatics doi:10.1007/s12021-026-09783-4. Tiers: exact | alias | fuzzy | class (rules in the script docstring and docs/audits/receptor_sources_typing.md). Systems: flywire, hemibrain, hemibrain_body, optic_inventory, manc, literature, malecns_class. flag: ';'-joined caveats -- unresolvable (name absent from the source), cb_placeholder, paper_release_only, unmatched, conflict_nern7_vs_malecns[_notation], minority_agreement, merged_list_only, name_only, v3_name_collision (definitions in the script docstring); empty = no caveat. Downstream joins that trust tier 'alias' should drop rows flagged unresolvable / unmatched / conflict_nern7_vs_malecns.
malecns_type,alias,system,tier,flag,evidence
ALIN6,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALIN7,ALIN7,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
ALIN7,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALIN8,ALIN8,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
ALIN8,ALIN,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALON1,ALON1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
ALON1,ALON,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALON2,ALON2,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 2 FlyWire cells); MaleCNS flywireType agrees"
ALON2,ALON,malecns_class,class,,MaleCNS v1.0 body-annotations class on 2/2 cells
ALON3,ALON3,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 4 FlyWire cells); MaleCNS flywireType agrees"
ALON3,"fru-M-100011, fru-M-300292",literature,alias,,"MaleCNS Cell Type Explorer (neuPrint male-cns:v1.0 synonyms, 2026-09-09)"
ALON3,ALON,malecns_class,class,,MaleCNS v1.0 body-annotations class on 4/4 cells
AMMC-A1,AMMC-A1,flywire,exact,,"name is a FlyWire v783 cell_type (Schlegel 2024 SD1 v3.1.0, 5 FlyWire cells); MaleCNS flywireType agrees"
AMMC-A1,AMMC-A1,hemibrain,exact,,"name is a hemibrain v1.2.1 type (Schlegel 2024 SD5, 2 hemibrain bodies); MaleCNS hemibrainType agrees"
AMMC001,CB3799,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB3799' on 2/2 cells
AMMC002,CB2149,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2149' on 8/8 cells
AMMC003,CB1826,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1826' on 8/8 cells
AMMC004,CB0978,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0978' on 6/6 cells
AMMC005,CB0958c,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0958c' on 12/12 cells
AMMC006,CB0958b,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0958b' on 8/8 cells
AMMC007,CB0958a,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0958a' on 9/9 cells
AMMC008,CB0451,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0451' on 2/2 cells
AMMC009,CB0333,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0333' on 2/2 cells
AMMC010,CB0131,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0131' on 2/2 cells
AMMC011,CB0749,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0749' on 2/2 cells
AMMC011,hb2092402876,hemibrain_body,alias,,"MaleCNS v1.0 hemibrainType='(hb2092402876)' on 1/2 cells: untyped hemibrain body id, no hemibrain type"
AMMC012,CB0404,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0404' on 2/2 cells
AMMC012,hb2032849765,hemibrain_body,alias,,"MaleCNS v1.0 hemibrainType='(hb2032849765)' on 1/2 cells: untyped hemibrain body id, no hemibrain type"
AMMC013,CB0478,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB0478' on 2/2 cells
AMMC013,hb1744966885,hemibrain_body,alias,,"MaleCNS v1.0 hemibrainType='(hb1744966885)' on 1/2 cells: untyped hemibrain body id, no hemibrain type"
AMMC014,CB1350,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1350' on 4/4 cells
AMMC015,CB1098,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB1098' on 8/8 cells
AMMC016,CB2313,flywire,alias,,MaleCNS v1.0 body-annotations flywireType='CB2313' on 4/4 cells
