arm,starts,run,brain_seed,row,env_seed,start_x,start_y,heading_deg,feeding_s,first_contact_s,path_m,mean_abs_dna_lr_hz,mean_abs_turn,mean_abs_steer_input_hz,mean_abs_integral_hz,mean_abs_yaw_rad_s,min_fruit_distance_m,end_energy,zero_energy_s
goal-only,shipped,1,32,3,3,-0.5,0.05,185.0,0.0,,1.4493386548928164,0.2636064733115692,0.02311906723516586,1.8495253795199096,0.0,0.04394307779490123,0.22658672501387964,0.0,19.39
goal-only,shipped,1,32,4,4,-0.5,0.05,5.0,14.999999999999725,18.61,0.5065774216307238,0.32787647841087825,0.03225873221158205,2.5806985789785784,0.0,0.036883836358931416,0.011829282845739565,0.8272147862611896,18.17
goal-only,shipped,1,32,5,5,-0.5,0.05,5.0,14.889999999999727,17.03,1.2752333529604558,0.37070964161572706,0.02854040524061323,2.28323242591694,0.0,0.04439953566707008,0.01049665467044416,0.8206459507997046,
feedback-only,shipped,1,32,0,0,-0.5,0.05,5.0,0.0,,0.8896906198553906,2.038013264821384,0.057874759544987074,11.343246058697503,7.334966374356299,0.18452690859608853,0.0468732319323877,0.0,18.07
feedback-only,shipped,1,32,1,1,-0.5,0.05,90.0,0.0,,0.9126100318135251,2.077761245564415,0.06571295702349744,12.80420726776123,8.44740901508058,0.1850966066778604,0.025342144595580048,0.0,18.01
feedback-only,shipped,1,32,2,2,-0.5,0.05,-90.0,0.0,,0.9091090166155624,2.3080340120351943,0.06669734240477435,12.853142535835504,8.386326362316806,0.19044442151809834,0.03772164071883829,0.0,18.15
feedback-only,shipped,1,32,3,3,-0.5,0.05,185.0,0.0,,0.9000603002536035,2.3286611554049506,0.06935598428448429,13.432163494856407,8.822095307931304,0.2031334804879446,0.024556431783937842,0.0,17.96
feedback-only,shipped,1,32,4,4,-0.5,0.05,5.0,0.0,,0.9890585471392168,1.931571007948159,0.06216974858024817,12.185417324670901,8.062736786726552,0.17593469798637246,0.04338054059751357,0.0,18.12
feedback-only,shipped,1,32,5,5,-0.5,0.05,5.0,0.0,,0.8924353028711385,1.6958305292714537,0.05947223115690577,11.495175696847339,7.771547404540081,0.15837698406986475,0.05116515982978855,0.0,18.28
full,shipped,2,33,0,0,-0.5,0.05,5.0,14.999999999999725,20.96,0.5231567766519132,1.0628089524663757,0.035945953216833006,5.695223087271055,3.27828033521461,0.10609121697753812,0.008559281307122808,0.8386275472287956,18.08
full,shipped,2,33,1,1,-0.5,0.05,90.0,14.999999999999725,39.11,0.7776393602481075,2.972825347708662,0.09138669168081832,13.767520442741613,7.295159336534174,0.2646871795939904,0.0003971307619388652,0.9231940879865385,17.93
full,shipped,2,33,2,2,-0.5,0.05,-90.0,14.999999999999725,28.69,0.5877345639174366,1.639268909642329,0.04857989062882553,7.791430534869432,4.448332675479663,0.14578136392651533,0.007118589566467763,0.8738267092444196,17.95
full,shipped,2,33,3,3,-0.5,0.05,185.0,14.999999999999725,33.23,0.7525009651578332,2.176406511258785,0.06451423576683737,11.056466246445973,6.443037605546415,0.19596682369401994,0.004805512072146877,0.8962197899383278,17.94
full,shipped,2,33,4,4,-0.5,0.05,5.0,14.999999999999725,20.05,0.526194210892904,1.1342527800786038,0.03640873495838605,5.814818823685249,3.406287093122179,0.10576073806667936,0.011819563797033895,0.8336686213720147,17.96
full,shipped,2,33,5,5,-0.5,0.05,5.0,14.999999999999725,21.24,0.6422461068257957,1.2979434566698753,0.03859067466143946,5.919455038656791,3.217175726629794,0.12171685298047526,-0.0027114775872815675,0.8398102634213157,17.91
goal-only,shipped,2,33,0,0,-0.5,0.05,5.0,14.999999999999725,44.01,0.6632716435937013,1.1574578094922958,0.09474753962499866,7.579803111329674,0.0,0.11019542090469917,0.009820322597621374,0.9459177604910515,18.21
goal-only,shipped,2,33,1,1,-0.5,0.05,90.0,0.0,,1.5042014756614555,0.3427940735183908,0.04951941598633615,3.9615532736852765,0.0,0.04135536086381985,0.1682010568155317,0.0,18.29
goal-only,shipped,2,33,2,2,-0.5,0.05,-90.0,14.999999999999725,32.69,0.7567083698041371,0.6781967343972142,0.04579321442365957,3.663457142263651,0.0,0.06676013513251422,-0.003766802811303576,0.8935258418133359,18.23
goal-only,shipped,2,33,3,3,-0.5,0.05,185.0,0.0,,1.4645767804260683,0.16718499314201785,0.014606979459261376,1.1685583537648503,0.0,0.03250927822013976,0.2265917558629076,0.0,19.44
goal-only,shipped,2,33,4,4,-0.5,0.05,5.0,14.999999999999725,37.98,0.7229333349852808,1.0829048846139482,0.09506977466730557,7.60558192461729,0.0,0.10269813754987006,0.0015224037029012046,0.9180167153169503,18.27
goal-only,shipped,2,33,5,5,-0.5,0.05,5.0,14.999999999999725,36.99,0.6302614818451407,1.1298224023991639,0.0977624729788901,7.820997815396016,0.0,0.10389980282348654,0.0079819902524329,0.9128742999100343,17.97
feedback-only,shipped,2,33,0,0,-0.5,0.05,5.0,0.0,,0.8919082953167453,1.7661181550010738,0.058393294213771395,11.100676433841388,7.37177820466614,0.16283169266864136,0.04530073260427601,0.0,18.14
feedback-only,shipped,2,33,1,1,-0.5,0.05,90.0,0.0,,0.9144424094502542,2.1625249146882815,0.06755002860940294,13.095836487611136,8.594000788827737,0.1940187751035556,0.021994279260605612,0.0,18.02
feedback-only,shipped,2,33,2,2,-0.5,0.05,-90.0,0.0,,0.9035226915874452,2.010960801602204,0.06656222270032837,12.652990679343542,8.397023644298315,0.18333864960443752,0.0375375730690672,0.0,17.98
feedback-only,shipped,2,33,3,3,-0.5,0.05,185.0,0.0,,1.627377286838345,1.095110305301521,0.033092669272323294,9.081834843444328,6.707402117071906,0.1062391830648546,0.2265917558629076,0.0,18.96
feedback-only,shipped,2,33,4,4,-0.5,0.05,5.0,0.0,,0.9194813253265902,1.993186695090222,0.06096153961691016,12.343298130743205,8.212183105438017,0.17966872860063432,0.04824686908419217,0.0,18.13
feedback-only,shipped,2,33,5,5,-0.5,0.05,5.0,0.0,,0.8977935384527606,2.0096017990874446,0.060192514692686626,11.49240489207208,7.462966581702543,0.17600830864583378,0.04970965104724762,0.0,17.9
full,shipped,3,34,0,0,-0.5,0.05,5.0,14.999999999999725,21.21,0.651049253688037,1.236618977839769,0.03674231976173663,5.699609099725882,3.1297845516260714,0.11475584100012952,0.004571839206344897,0.8399387364384406,18.09
full,shipped,3,34,1,1,-0.5,0.05,90.0,14.999999999999725,35.57,0.7595368056469425,2.5348609462196876,0.07590206656183,12.047156856848547,6.667104665607525,0.2251811690558017,0.004473766727953285,0.9066398002798923,18.03
full,shipped,3,34,2,2,-0.5,0.05,-90.0,14.999999999999725,28.59,0.5800151539051209,1.3197574435373896,0.04738501885799148,7.6356544899940495,4.659548310744576,0.1239961352997175,0.008803853008692165,0.8742124602930365,18.02
full,shipped,3,34,3,3,-0.5,0.05,185.0,9.999999999999831,50.01,0.8727008621037006,3.3238792569077553,0.09933001027136924,15.909655828500787,8.754423124622553,0.2961736989397544,-0.0014111329749886582,0.6331256769824044,18.16
full,shipped,3,34,4,4,-0.5,0.05,5.0,14.999999999999725,20.2,0.5219449461954544,1.129597106458967,0.0357121219165856,5.5265393001834555,3.0488439951417967,0.10961501782648109,0.011019005579057807,0.8344700884294187,18.05
full,shipped,3,34,5,5,-0.5,0.05,5.0,14.999999999999725,21.94,0.6366769954335385,1.4666062973483511,0.041241736732141966,6.870119589964549,3.932763958486418,0.13113922867574807,-0.004481108331382856,0.8431988370074569,18.0
goal-only,shipped,3,34,0,0,-0.5,0.05,5.0,14.999999999999725,36.11,0.7154405142668699,0.9083788874956099,0.08686812102212571,6.949449642077088,0.0,0.08273617283464833,0.002019707884859053,0.9090384881174441,18.28
goal-only,shipped,3,34,1,1,-0.5,0.05,90.0,14.25999999999974,45.75,0.7661078382841067,1.160155838236172,0.10010998586158773,8.008798843783637,0.0,0.10250705615902964,0.013741197124686811,0.9029158952531676,18.42
goal-only,shipped,3,34,2,2,-0.5,0.05,-90.0,7.619999999999882,52.39,0.7769800421649568,0.5677141492346195,0.07179824061085431,5.743859226647764,0.0,0.061701749947775233,0.014076890942278653,0.4824054957915967,18.25
goal-only,shipped,3,34,3,3,-0.5,0.05,185.0,0.0,,1.4430415186588925,0.1749371383741063,0.013932279345963252,1.1145823452507708,0.0,0.030362649348262175,0.2265844583693308,0.0,19.57
goal-only,shipped,3,34,4,4,-0.5,0.05,5.0,14.859999999999728,16.66,1.3149746931288964,0.4723689181339699,0.031101468604562494,2.4881174960235755,0.0,0.06015196940263228,-0.009336047105817102,0.8190475290221316,
goal-only,shipped,3,34,5,5,-0.5,0.05,5.0,14.979999999999725,18.0,0.4996445506618888,0.40401183724433437,0.034902416464246924,2.7921933205301563,0.0,0.046993745647901645,0.01366503646800419,0.8243999970725598,
feedback-only,shipped,3,34,0,0,-0.5,0.05,5.0,0.0,,0.8987273001925664,1.7998335225398039,0.061557918751689915,11.987650747708976,8.197244240699025,0.1655158883902843,0.05201485373085136,0.0,18.09
feedback-only,shipped,3,34,1,1,-0.5,0.05,90.0,0.0,,0.9051282437356802,2.2189371751997515,0.06784228046487745,13.760895847479503,9.47605453458925,0.18623467564119997,0.023353341043769703,0.0,18.05
feedback-only,shipped,3,34,2,2,-0.5,0.05,-90.0,0.0,,0.9066862749918542,1.955726453206595,0.06486545698034508,12.23476138189435,8.184539793431759,0.17430138943001736,0.03204753329323741,0.0,17.97
feedback-only,shipped,3,34,3,3,-0.5,0.05,185.0,1.6400000000000012,58.37,0.9329217841980053,2.196117577699414,0.06942674261398982,12.646859381509325,7.825745789948851,0.20307083810145513,0.014926626273628493,0.10366258157462058,18.13
feedback-only,shipped,3,34,4,4,-0.5,0.05,5.0,0.0,,0.891273101481012,1.8738185358584554,0.06101518326554166,11.827292971337835,7.934599578639803,0.16601712390459766,0.050479432471354634,0.0,18.17
feedback-only,shipped,3,34,5,5,-0.5,0.05,5.0,0.0,,0.9040043495777704,1.873525636344958,0.06128252337288965,11.988632454251249,8.321429485217669,0.16843091881517208,0.048578052074660434,0.0,18.14
full,shipped,4,35,0,0,-0.5,0.05,5.0,14.999999999999725,20.91,0.5295718237510687,1.365677858499817,0.038248020712829504,6.236100196142991,3.5024968529554705,0.12274816089158816,0.007280154068855162,0.8379049831812124,18.02
full,shipped,4,35,1,1,-0.5,0.05,90.0,14.999999999999725,40.01,0.7719463771583377,3.1763740930781696,0.0947859385474779,14.373597276005894,7.452011709810855,0.2835139493858783,-0.004655817858441547,0.9273157890670277,18.05
full,shipped,4,35,2,2,-0.5,0.05,-90.0,14.999999999999725,29.2,0.7206678006131526,1.6457261177112918,0.04938293706140636,7.49327019257471,4.044700736685966,0.15341265489758854,-0.039305309663815666,0.8768595905588952,18.16
full,shipped,4,35,3,3,-0.5,0.05,185.0,14.599999999999733,45.41,0.8441079452631447,3.442836436660031,0.09663296986788433,14.873501574322582,7.759764313865453,0.2870830994322611,-0.010757875543067624,0.9244439989491795,17.94
full,shipped,4,35,4,4,-0.5,0.05,5.0,14.999999999999725,19.92,0.5354239437482381,1.2193675795640246,0.038187476795040615,6.096604540596406,3.495733277515198,0.11876863725235691,0.010184216680929122,0.8322575886689014,17.82
full,shipped,4,35,5,5,-0.5,0.05,5.0,14.999999999999725,21.35,0.5327537798214486,1.3450820622335418,0.03861841789361885,5.3667950825889905,2.7592365873729188,0.12277407092175821,0.006240093365001878,0.8402797103548438,17.94
goal-only,shipped,4,35,0,0,-0.5,0.05,5.0,14.849999999999728,16.56,1.3378833183143428,0.3401269380016641,0.030534893504033486,2.4427914791554213,0.0,0.05175923164811802,-0.007509024121408917,0.8184242244612667,
goal-only,shipped,4,35,1,1,-0.5,0.05,90.0,14.999999999999725,42.04,0.7524506628312428,0.9154014768175771,0.08927528624694483,7.142022869375845,0.0,0.08750021317714057,0.0025005449168888343,0.937094441807775,18.31
goal-only,shipped,4,35,2,2,-0.5,0.05,-90.0,14.999999999999725,36.89,0.7164645761550138,0.643826342669413,0.05205497721976523,4.164398162644357,0.0,0.06618568098032326,-0.010551968586676563,0.9130977848293808,18.31
goal-only,shipped,4,35,3,3,-0.5,0.05,185.0,0.0,,1.4718263312451985,0.13510649792563365,0.012845447028327423,1.027635759698848,0.0,0.02546942431008386,0.2265843733576792,0.0,19.34
goal-only,shipped,4,35,4,4,-0.5,0.05,5.0,14.999999999999725,20.3,0.5225077890966745,0.5692783241745644,0.036795974657676804,2.9436779656012853,0.0,0.05902002621706043,0.014027551889340475,0.8346108312940118,18.11
goal-only,shipped,4,35,5,5,-0.5,0.05,5.0,14.999999999999725,36.13,0.7515774549636248,1.276250918972227,0.1025724978230816,8.20579977893581,0.0,0.11801916492927286,0.0037282474077548217,0.9095090539547447,18.21
feedback-only,shipped,4,35,0,0,-0.5,0.05,5.0,0.0,,0.9026326920379996,1.737910585450716,0.05876304117052314,11.221090284318974,7.4317091691074895,0.15768449417921357,0.050169143874332515,0.0,18.15
feedback-only,shipped,4,35,1,1,-0.5,0.05,90.0,0.0,,0.8980925469692806,2.099489081178244,0.06654794207917196,13.524759418666363,9.151948965589206,0.18707594545616818,0.022431595701550094,0.0,18.11
feedback-only,shipped,4,35,2,2,-0.5,0.05,-90.0,0.0,,0.9007767200601873,1.9672383757339635,0.06661438424026832,12.633005417163174,8.210020809794466,0.18466680771059374,0.04036438460164292,0.0,18.13
feedback-only,shipped,4,35,3,3,-0.5,0.05,185.0,0.0,,0.9123294901523862,2.2406082718415194,0.06689918314454796,13.863889799502989,9.363180394143177,0.1986050287449914,0.03699693518834462,0.0,17.81
feedback-only,shipped,4,35,4,4,-0.5,0.05,5.0,0.0,,0.9081450416540852,1.7881880668917733,0.06130659129208652,12.024038246131191,8.393201126678226,0.16021488245792748,0.0499764982925776,0.0,18.05
feedback-only,shipped,4,35,5,5,-0.5,0.05,5.0,0.0,,0.8999265996252706,1.9804049194558213,0.061414760011748136,11.877757569427292,8.008527977379659,0.17811088333418051,0.051105794254810065,0.0,18.15
full,shipped,5,36,0,0,-0.5,0.05,5.0,14.999999999999725,20.66,0.555319563591123,1.0990644308054711,0.03623633363740131,5.645344335188469,3.226974231877054,0.10619563537731265,0.008867119759862277,0.8368770440225372,17.96
full,shipped,5,36,1,1,-0.5,0.05,90.0,14.999999999999725,39.34,0.7519465603543442,3.1121909857538785,0.09230681631700614,13.872019843645393,7.261752162768195,0.273665607274774,-0.010054006504281022,0.9243322273146458,18.0
full,shipped,5,36,2,2,-0.5,0.05,-90.0,14.999999999999725,29.38,0.587390250164995,1.6272457615443932,0.05088927079292868,8.448932661662498,4.86803083343509,0.15055035642647097,0.00596328160091774,0.8774460654315005,18.13
full,shipped,5,36,3,3,-0.5,0.05,185.0,14.999999999999725,31.81,0.5978102452722742,2.2536749913589453,0.06110964365929249,10.005949989855289,5.509256419890249,0.19313818478876071,0.010155778289800507,0.8888647757574815,18.13
full,shipped,5,36,4,4,-0.5,0.05,5.0,14.999999999999725,21.02,0.5288800460570965,1.4130671735255909,0.039240052609238775,6.1398001122474675,3.3417405889028062,0.12412042549295924,0.007465993645702079,0.8383665434617019,18.05
full,shipped,5,36,5,5,-0.5,0.05,5.0,14.999999999999725,21.89,0.6866493032587784,1.5105485293433392,0.04017503002551772,6.459254070445895,3.6105872771237046,0.13855106910924508,0.00034611826920437,0.8427501526968858,18.06
goal-only,shipped,5,36,0,0,-0.5,0.05,5.0,14.999999999999725,38.97,0.6282764783657436,0.8507305545864774,0.07616925836773589,6.0935406525433065,0.0,0.07931479766160052,0.0028828170285416146,0.9224081112354762,18.11
goal-only,shipped,5,36,1,1,-0.5,0.05,90.0,14.73999999999973,45.27,0.6573807147508064,0.958545293849999,0.09011029216533643,7.20882333131507,0.0,0.08175918062602008,0.013887763608802573,0.933327863904769,18.5
goal-only,shipped,5,36,2,2,-0.5,0.05,-90.0,14.999999999999725,42.03,0.6485006934907447,0.7433778879760018,0.06172293303199695,4.93783461677221,0.0,0.07165993883158978,0.012462502688837744,0.9366694307940606,18.31
goal-only,shipped,5,36,3,3,-0.5,0.05,185.0,0.0,,1.6520084173302856,0.15807158040398211,0.015536083711958781,1.2428867030966406,0.0,0.031338184598300935,0.22658484803101334,0.0,19.54
goal-only,shipped,5,36,4,4,-0.5,0.05,5.0,14.869999999999727,16.76,1.3132730120843932,0.4000326874572061,0.029240726954303683,2.339258151256169,0.0,0.05365408815284672,-0.011657538883737833,0.8192167430581002,
goal-only,shipped,5,36,5,5,-0.5,0.05,5.0,14.889999999999727,17.11,1.332985684580375,0.5089296500806532,0.028639277551556007,2.291142195351422,0.0,0.05893516797590106,-0.006385725316313654,0.8203709990702458,
feedback-only,shipped,5,36,0,0,-0.5,0.05,5.0,0.0,,0.9899260350434351,1.9449042145318216,0.05731425122213599,10.60682560907056,6.875048307271984,0.16617607614533778,0.04774047146974713,0.0,18.12
