mode,seed,row,speed_deg_s,mean_strength,weak_fraction,stationary_error_p95_deg,moving_error_p95_deg,first_slope_deg_s,reverse_slope_deg_s,mean_width_wedges,mean_peak_hz,mean_epg_hz,failed_gates
instrumented,13,6,180.0,0.8147418882535321,0.0,7.332335902096042,22.07455862249187,179.25748452798607,-180.8720052528785,3.539530842745439,51.595455169677734,12.140135765075684,
instrumented,13,7,90.0,0.8214918993396957,0.0,6.470510809048464,12.635006965574767,89.51126015385707,-89.94993830442272,3.52997393570808,52.43451690673828,12.249934196472168,
instrumented,14,0,-180.0,0.8088155154934703,0.0,6.730618131311019,22.17968940689326,-180.10274746216177,178.6048969603395,3.6507384882710685,50.7289924621582,12.201930046081543,
instrumented,14,1,-90.0,0.8284951184043522,0.0,6.56313633855287,13.798114125718381,-88.1554328848125,89.29286980047397,3.422241529105126,52.52326202392578,11.955050468444824,
instrumented,14,2,-45.0,0.8237243088641091,0.0,7.406741051816535,10.231828571512805,-43.176720320185204,46.49442891601108,3.4361424847958295,53.40525817871094,12.156405448913574,
instrumented,14,3,0.0,0.829881582552583,0.0,6.984377560468131,,-0.4654205645538626,0.16697618602099493,3.3970460469157255,52.4694709777832,11.341219902038574,
instrumented,14,4,45.0,0.8260620528008263,0.0,7.039948303601462,10.0393391821154,45.95111026763006,-42.86265402133792,3.4335360556038226,51.50521469116211,11.741401672363281,
instrumented,14,5,90.0,0.8269667026097857,0.0,6.524538336667754,14.010762133102588,89.39194750488377,-88.87749263135449,3.260642919200695,52.869014739990234,11.84659481048584,
instrumented,14,6,180.0,0.813047054251427,0.0,6.525764826684581,22.23625745717721,181.0590655142485,-181.14625369319776,3.5855777584708948,49.84752655029297,11.953285217285156,
instrumented,14,7,90.0,0.8262523762776548,0.0,6.758855576073386,14.519212082481877,88.2266764125653,-88.59374148566177,3.4960903562119894,52.239925384521484,12.220046997070312,
instrumented,15,0,-180.0,0.8120839200189398,0.0,7.879504552090572,22.440628125287898,-179.69607336277502,180.41503001266537,3.5482189400521285,51.102561950683594,12.059296607971191,
instrumented,15,1,-90.0,0.8274847355015928,0.0,7.055977938175383,11.767165159566526,-89.3801395966874,90.47987628160195,3.5091225021720245,50.84861755371094,11.712969779968262,
instrumented,15,2,-45.0,0.827820855471955,0.0,6.801569224001815,9.761261807336801,-45.30809925820328,43.77957224019955,3.472632493483927,52.47043991088867,11.791559219360352,
instrumented,15,3,0.0,0.8304017025772963,0.0,7.38501212510816,,-1.2478961885982593,0.5407914299529056,3.5125977410947002,52.50726318359375,11.44069766998291,
instrumented,15,4,45.0,0.8310557696268297,0.0,6.613063315964517,8.792925921192575,44.18960761245182,-45.02753253243891,3.4509122502172023,52.76948928833008,12.196109771728516,
instrumented,15,5,90.0,0.8230846708141176,0.0,5.4452608375717375,13.789132924375624,89.14883414672438,-89.85833876414114,3.489139878366638,52.29846954345703,12.0708646774292,
instrumented,15,6,180.0,0.8141194258721576,0.0,6.060181430042144,21.170055575577617,180.8425856758946,-182.08555042845987,3.589052997393571,51.222103118896484,12.23074722290039,
instrumented,15,7,90.0,0.8292181750855251,0.0,5.617622989586727,13.386733097013089,88.37743784140527,-88.9143699415723,3.3475238922675934,53.20423889160156,12.233419418334961,
