arm,key,seeds,files,run_ids,values,mean,sd,n
V-,bump_hz_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
V-,width_half_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","nan,nan,nan,nan,nan,nan",,,0
V-,frac_confined_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V-,bump_follow_wedges_per_s,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","6.9645,2.2765,2.2636,-1.5170,2.8487,2.8021",2.6064024176141714,2.6951443521337843,6
V-,bump_follow_confined_frac,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V-,bump_follow_ideal_wedges_per_s,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","4.0000,4.0000,4.0000,4.0000,4.0000,4.0000",4.0,0.0,6
V-,GLNO_LR_hz,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","-1.4627,-1.7747,-2.3811,-2.1203,-3.1658,-1.4946",-2.066537360350291,0.6460994372211185,6
V-,PEN_LR_hz,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0466,0.0002,0.0852,0.0325,0.0153,0.0110",0.0317914061039725,0.030882042867518864,6
V-,DNa02_LR_hz,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V-,PS196b_LR_hz,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","18.1393,16.9619,17.8107,18.3575,18.9468,17.8204",18.006098747253418,0.6616768086963812,6
V-,AFF_LR_hz,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","-44.6523,-41.9164,-42.5673,-44.9742,-47.0013,-44.4152",-44.254425684611,1.8198948629490928,6
V-,GLNO_LR_hz_rest,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","-0.0489,-0.0809,-0.2539,-0.0028,-0.1299,-0.0014",-0.08630856780412917,0.09549178931191588,6
V-,PEN_LR_hz_rest,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0313,0.0271,0.0209,0.0313,0.0001,0.0000",0.01846544243417725,0.014769097476322065,6
V-,PEN_mean_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0359,0.0243,0.1043,0.0324,0.0140,0.0373",0.04137515788897872,0.032037319413974315,6
V-,GLNO_mean_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.5270,0.6556,1.0877,0.7247,0.9812,0.4954",0.7452703714370728,0.2414311347629547,6
V-,PS196b_L_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","18.1393,16.9619,17.8107,18.3575,18.9468,17.8204",18.006098747253418,0.6616768086963812,6
V-,PS196b_R_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,6
V-,epg_in_mean_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","10.1509,10.3898,10.7638,10.1677,10.7101,11.5120",10.615703264872232,0.5102852731587321,6
V-,epg_out_mean_post,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","9.6070,9.9211,9.8461,9.9128,9.9109,9.6565",9.809078057607016,0.14081446442046297,6
V-,vs_post_all,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.1039,0.1001,0.1179,0.1050,0.1025,0.1060",0.10591471280750804,0.0062163741741991085,6
V-,GLNO_L_hz_turn,"0,1,2,3,4,5","V-_s0.json,V-_s1.json,V-_s2.json,V-_s3.json,V-_s4.json,V-_s5.json","V-_s0.json#0,V-_s1.json#0,V-_s2.json#0,V-_s3.json#0,V-_s4.json#0,V-_s5.json#0","0.0000,0.0005,0.1101,0.0011,0.0002,0.0010",0.018844970908456087,0.04471107409493916,6
