arm,key,n_seeds,n_exactly_equal,max_abs_diff,cx9_values,reference_values,cx9_device,reference_device
V,GLNO_LR_hz_rest,6,6,0.0,"0.3403,0.0200,0.1669,0.0091,0.0781,0.1349","0.3403,0.0200,0.1669,0.0091,0.0781,0.1349","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PEN_LR_hz_rest,6,6,0.0,"0.0322,0.0001,0.0201,0.0000,-0.0000,-0.0101","0.0322,0.0001,0.0201,0.0000,-0.0000,-0.0101","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PEN_mean_post,6,6,0.0,"0.1258,0.1791,0.0803,0.0376,0.0720,0.0860","0.1258,0.1791,0.0803,0.0376,0.0720,0.0860","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,GLNO_mean_post,6,6,0.0,"0.9325,1.6952,1.0343,0.3432,1.1049,0.9511","0.9325,1.6952,1.0343,0.3432,1.1049,0.9511","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PS196b_L_hz_turn,6,6,0.0,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,PS196b_R_hz_turn,6,6,0.0,"18.6666,18.0815,18.3178,14.8798,19.9797,19.0456","18.6666,18.0815,18.3178,14.8798,19.9797,19.0456","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,epg_in_mean_post,6,6,0.0,"10.1509,10.5849,10.7638,10.1677,10.7274,11.3695","10.1509,10.5849,10.7638,10.1677,10.7274,11.3695","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,epg_out_mean_post,6,6,0.0,"9.7026,10.1383,9.7743,9.9184,9.9442,9.7129","9.7026,10.1383,9.7743,9.9184,9.9442,9.7129","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,vs_post_all,6,6,0.0,"0.1084,0.1044,0.1152,0.1050,0.1035,0.1067","0.1084,0.1044,0.1152,0.1050,0.1035,0.1067","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
V,GLNO_L_hz_turn,6,6,0.0,"2.3370,3.9572,2.3583,0.8470,3.1106,2.9488","2.3370,3.9572,2.3583,0.8470,3.1106,2.9488","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200","NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200,NVIDIA B200"
