type,malecns,fafb,banc,male_specific_annotated_cells,malecns_fruDsx,evidence
AVLP705m,9,0,0,9,dsx_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP706m,6,0,0,6,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP708m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP709m,8,0,0,8,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP710m,2,0,0,2,,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP711m,5,0,0,5,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP712m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP713m,2,0,0,2,coexpress_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP714m,6,0,0,6,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP715m,4,0,0,4,coexpress_high;fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP716m,2,0,0,2,coexpress_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP717m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP718m,5,0,0,5,coexpress_high;fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP719m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP720m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP721m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP722m,5,0,0,5,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP723m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP724m,2,0,0,2,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP725m,4,0,0,4,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP727m,5,0,0,5,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP728m,6,0,0,6,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP729m,6,0,0,6,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
AVLP730m,3,0,0,3,fru_high,MaleCNS source dimorphism=male-specific; annotation applies to these cells
